"Timestamp","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","R42","R43","R44","R45","R46","R47","R48","R49","R50","R51","R52","R53","R54","R55","R56","R57","R58","R59","R60","R61","R62","R63","R64","R65","R66","R67","R68","R69","R70","R71","R72","R73","R74","R75","R76","R77","R78","R79","R80","R81","R82","R83","R84","R85","R86","R87","R88","R89","R90","R91","R92","R93","R94","R95","R96","R97","R98","R99","R100"
"2014-09-01 00:01:33",52179,52354,52187,52373,52361,52315,51054,52063,52316,52351,52026,52352,52209,52362,52173,52328,51022,52320,52376,52050,52308,52038,52347,52336,50895,52339,52335,52056,51010,52380,52296,50913,52377,50963,50752,52363,52054,52345,52340,52195,52323,52318,52309,52071,52374,50730,51075,52285,52317,52371,50733,50746,52364,52322,52366,50761,52369,52344,52210,51023,52238,52334,50756,52329,51035,52326,50740,50962,50749,50726,52368,52348,52154,41623,52237,52150,52265,50905,52367,51069,52378,50742,52381,50734,52205,50729,52375,51028,52312,52338,48980,52382,52274,52341,50953,52324,52182,49001,52087,52031
"2014-09-01 00:31:33",52179,52187,52354,52373,52315,52241,52361,52063,51054,52316,52026,52351,52328,52209,52320,52383,52173,52352,52050,52362,52308,52376,51022,52311,50895,52296,52339,52335,52038,52056,52054,52345,50913,52015,52336,52195,52380,50963,50752,52318,52323,52309,52363,52340,52071,52374,50730,52285,52317,52364,51075,50733,50746,52238,52371,50761,51023,52366,52369,52312,52334,52322,52210,51035,52326,50756,50726,52154,52329,50740,52368,50962,52348,50905,50749,52265,52237,51069,52229,52150,41623,50729,52174,50742,52338,52367,50953,52274,52378,52205,52182,50927,50734,50510,52214,52370,52094,52375,51028,52332
"2014-09-01 01:01:33",52179,52187,52354,52373,52315,52241,52361,52063,51054,52316,52026,52351,52328,52209,52320,52383,52173,52050,52352,52362,52308,51022,52311,50895,52296,52376,52339,52335,52038,52056,52054,50913,52345,52015,52195,52336,52380,50963,50752,52318,52323,52309,52363,52340,52071,52374,50730,52285,52317,52364,51075,50733,50746,52238,52384,52371,50761,51023,52366,52312,52369,52334,52322,52210,51035,52326,50756,50726,52154,50740,52368,50962,52329,50905,50749,52348,52265,52237,51069,52229,52150,52375,41623,50729,52174,50742,52338,50953,52274,52367,52205,52182,52378,50927,50734,50510,52214,52370,52094,51028
"2014-09-01 01:31:33",52179,52385,52187,52354,52373,52241,52361,52063,52315,51054,52026,52316,52050,52209,52362,52352,52351,52173,52311,50895,52345,52376,51022,52363,52328,52320,52056,52054,50913,52308,52038,52195,52015,52386,52296,52336,52339,52335,52384,52380,52318,50963,50752,52340,50730,52071,50733,50746,52309,52238,52374,52323,51075,52285,50761,52375,51023,52371,52317,52364,52312,52366,52369,52334,52387,52322,52210,51035,52344,50726,52154,50756,50905,50740,52329,52237,50962,50749,52368,52348,51069,52229,52381,52326,41623,52272,50729,52174,50742,50953,52301,52182,52367,52378,50734,50510,50927,52370,52094,49001
"2014-09-01 02:01:33",52179,52187,52385,52373,52241,52361,52387,52063,52315,51054,52026,52354,52383,52316,52050,52209,52352,52351,52362,52311,52173,50895,52345,51022,52363,52328,52376,52384,52320,52056,52054,50913,52308,52038,52195,52015,52386,52296,52339,52335,52336,52380,52318,50963,50752,50730,52071,52340,50733,50746,52309,52238,52323,51075,52374,52285,50761,51023,52375,52371,52317,52364,52312,52366,52369,52322,52210,52334,51035,52344,50726,52154,50756,50905,50740,52329,52237,50962,50749,52368,51069,52229,52348,52326,41623,52272,50729,52174,50742,52388,52367,52205,52378,50729,50927,51028,48980,50953,52389,52312
"2014-09-01 02:31:32",52179,52187,52320,52385,52373,52241,52361,52063,52315,52387,51054,52026,52354,52316,52050,52209,52352,52351,52311,52173,50895,52362,51022,52363,52328,52345,52376,52056,52054,52384,50913,52308,52038,52195,52015,52386,52296,52339,52335,52336,52380,52366,52318,50963,50752,50730,52071,52340,50733,50746,52309,52238,52323,51075,52374,52285,50761,51023,52317,52375,52371,52364,52312,52390,52322,52369,52210,51035,52344,52334,50726,52154,50756,50905,50740,52329,52237,50962,50749,52368,51069,52229,52348,52388,52326,41623,52272,50729,52174,50742,50953,52301,52381,52391,52182,52367,50734,50510,50927,52370
"2014-09-01 03:01:32",52179,52187,52320,52385,52373,52241,52361,52063,52315,51054,52387,52026,52384,52354,52316,52050,52209,52352,52351,52311,52173,50895,52362,51022,52363,52328,52345,52056,52054,50913,52308,52376,52038,52195,52015,52386,52296,52339,52335,52336,52380,52366,52318,50752,50963,50730,52071,50733,50746,52340,52392,52309,52238,52323,51075,52285,50761,51023,52317,52364,52375,52371,52312,52390,52322,52210,51035,52369,52344,50726,52154,52334,50756,50905,50740,52329,52237,50962,50749,52368,52355,51069,52229,52348,52326,41623,52388,52272,50729,52174,50742,50953,52301,52182,52367,52391,50734,50510,52381,50927
"2014-09-01 03:31:32",52179,52187,52320,52385,52373,52241,52361,52063,52315,51054,52387,52026,52384,52354,52316,52050,52209,52352,52351,52311,52173,50895,51022,52363,52362,52328,52345,52056,52054,50913,52308,52038,52195,52376,52015,52386,52296,52339,52335,52336,52380,52318,52366,50752,50963,50730,52071,50733,50746,52309,52238,52323,51075,52340,52392,52393,52285,50761,51023,52317,52364,52312,52375,52371,52390,52369,52322,52210,51035,52344,50726,52154,50756,52334,50905,50740,52329,52237,50962,50749,52368,51069,52229,52355,52348,52326,41623,52272,50729,52174,50742,52388,50953,52301,52182,52367,50734,52391,50510,50927
"2014-09-01 04:01:33",52179,52187,52320,52385,52387,52241,52373,52063,52315,52361,51054,52384,52026,52394,52354,52316,52050,52209,52352,52351,52311,52173,50895,51022,52363,52328,52362,52056,52054,52345,50913,52308,52038,52195,52015,52386,52376,52296,52339,52335,52336,52318,52380,52366,50752,50963,50730,52071,50733,52392,50746,52309,52238,52323,51075,52340,52393,52285,50761,51023,52317,52364,52312,52375,52371,52390,52357,52322,52369,52210,51035,52344,50726,52154,50756,52334,50905,50740,52329,52237,50962,50749,52368,51069,52229,52355,52348,52326,41623,52272,52388,50729,52174,50742,50953,52301,52182,50734,50510,50927
"2014-09-01 04:31:33",52179,52187,52320,52385,52387,52241,52373,52063,52315,52361,51054,52384,52026,52394,52316,52354,52050,52209,52352,52351,52311,52173,50895,51022,52363,52328,52362,52056,52054,50913,52308,52345,52038,52195,52015,52386,52395,52296,52371,52339,52335,52376,52336,52318,50752,50963,52380,52366,52396,50730,52071,50733,50746,52309,52238,52323,51075,52397,52392,52340,52285,50761,52393,51023,52317,52364,52312,52375,52322,52390,52210,51035,52357,52369,52344,50726,52154,50756,50905,52334,50740,52329,52237,50962,50749,52368,51069,52229,52348,52326,52355,41623,52272,50729,52174,50742,50953,52301,52182,52388
